sentiment	text
1	Courtesy and Location!. To me both a central location and my experience as a guest drive my selection of a hotel. Oh and the comfort of the beds too! Hotel Nikko has all this and more. Location is perfect, near Union Square and shopping. It is also very well situated to Bart, the subway, this makes it even easier to get around the city. We had thought that we would take the car out a couple of times, though we never did, it was just as easy to use public transportation or use our 2 feet. The only caution, and this would be throughout the city, is parking costs, so don't be shocked with the fee! I will say the valet was superb. They were swift and efficient and responsive to our requests. From the moment you step into this hotel you are welcomed. The hotel is beautiful and stylish. The check-in is thorough and not rushed, you are offered a glass of wine or if you prefer there is always iced cucumber or lemon water available in the lobby. It is these many details that cause me to take a moment to relax and enjoy my surroundings especially in a busy city. You feel cared about and to me that makes a difference. The staff are professionals, they are friendly, you are treated well, and oh, you have a great shower, so there you have it, enjoy!Dear ProudCalifNativeThank you so much for your recent review and for staying with us. We appreciate the perfect score! You mentioned so many items that made your stay memorable. I am glad the wine and water at the reception desk made you feel welcome. Your kind comments about our service have been shared with the staff. You have made their day!All of us look forward to welcoming you back to Hotel Nikko soon!Sincerely,Marcia Striffeler
1	Good location to conference. This is a good hotel for business purposes. The wi fi signal is good and it is very close to the federal reserve bank. A little too close to some of Chicago's high crime district for my taste, but we felt relatively safe. Convenient to restaurants, and decent breakfast. A solid business option.Dear Samantha HThank you for your review.I would like to reassure you that The Central Loop area of Chicago which is, as you know, also the Financial District of the City is not near any major crime area. The area is safe and very well patrolled by the Chicago Police so please do not have any concerns.I am glad you had a good stay with us and look forward to you return.Kind regardsPaul Tiernan - Hotel Manager
1	Great location and place for family with teenagers. Ideal location in quieter place off Canal within walking distance of loud French Quarters. Corner room was nice, modern and spacious for four. Need bathroom fan and better housekeeping! Lobby, lounge and bar were great...family really enjoyed the pool table and multiple board games scattered throughout. Additional perk was allowing our dog! Made all feel quite at home! We sure do love our four legged family members and we are happy to accommodate them while traveling with our guests. Thank you for your feedback and we look forward to having you back again soon!Yours in hospitality,Dixie Krauss, Operations Manager
1	Far better service than airport hotels should offer. I've stayed twice at this property - both times while running business meetings. I've been quite impressed with the staff's level of service. Their energy and attention to details have made a big difference in ensuring the meetings were successful.The hotel's facilities are well-designed and well-maintained. And while it's hardly a glamor spot, it's a VERY good choice for business travelers. It's actually quite a pleasant surprise!Dear BobRosenNY, thank you very much for taking the time to write about your visit's with us, we appreciate your business. I'll be sure to pass along your kind words and we hope to see you again in the future! Wishing you safe travels. Dieter Heigl
1	Highly Recommend! Old World Charm and Great Location!. I love the Bellevue - great historical property in the heart of Center City Philadelphia - on Broad Street with great proximity to the theaters, City Hall and shopping - short cab ride to museums and historical area.Tons of old world charm - extremely clean and furnished well. Staff was friendly, welcoming and just a pleasure. Had a great oversized king room (husband is still in awe of the quality of the tv picture ) Had drinks up on the 19th floor - beautiful views - have dined previously in the restaurant - did not this stay but would recommend especially for a special occasion. We visited for an overnight to celebrate an anniversary however I have stayed at the Bellevue for meetings/conferences and also attended weddings - regardless of reason, I have always experienced excellent service, value and always left, pleased with my stay.Thank you for choosing us to celebrate your anniversary! We are delighted that you enjoyed your stay with us, and that you felt cared for by our staff. We look forward to your next visit!Kindest regards,Michelle G.
1	Top deal in New Orleans, but.... I live within an hour of New Orleans, so I go often. I have stayed in many hotels. The Drury Inn became my go-to hotel. But it has been a while since I stayed overnight in NOLA. My last Drury review, the hotel was the greatest thing since man canned beer. But upgrades have knocked it down a notch. First the positives: it is about 4 blocks off of the French Quarter. So certainly close enough to walk in a couple minutes, but far enough away that it is quiet. You can actually sleep when you are ready. The breakfast is awesome with eggs, grits (real creamy grits), sausage, waffle makers, plus, plus. The 5pm kick back includes 3 free drinks and enough real food to count as dinner. While you have to eat at some NOLA restaurants to get the full NOLA experience, free breakfast and free dinner easily can save you 100 a day as a couple, making the trip more affordable. The rooms are updated, clean and comfortable.My only negative is the updates. They used to have free self parking. Now there is ONLY 28 a day for valet parking. Don't rent a car if you are flying in. The city is very walkable. But when you drive in like me, it really ups the cost. Then the convenience of the valet parking is negated by the very poor management of the process. You can not call down from your room to have your car pulled up front like any other hotel. You have to come down in person. For most of my stay there was only 1 guy around. He was fetching other cars and it took forever to get ours. Same thing when you return to the hotel. No one around, and you may wait 20-30 minutes to drop off your car. Frustrating to say the least. I would have MUCH, MUCH rather self parked.Thanks for your recent stay with us, and the kind words about the hotel and its offerings. Also, thanks for feedback on the parking. As you noted, we do only have valet parking now and it is at a fee. I was not aware of free parking in the past, but did some digging and found that in 2010, when construction on the addition began and during your last stay, free parking was offered. Also, please know that we do allow for call down for car retrieval as long as it is not raining or a large check-out. I will get with the valet team, and repeat that these are the only periods when guests are asked to come down. We look forward to seeing you again,Patrick D. General Manager
1	Maybe more like 3.5 stars.... The location is outstanding. The price was very fair (109+tax on a Friday night). They gave me a recently remodeled upgraded King room with a fantastic view of City Hall and downtown. Check-in was easy, and the man who helped us was pleasant.The remodeled room was large, colorful, and trendy. The bathroom was very nice and spacious (shower and toilet in one room, sink in another), all with new fixtures. There was plenty of closet, drawer, and desk space. However, when I opened one of the drawers, a prior guest must have left behind some very expensive perfume. That seems like something the cleaning lady should have caught.The sheets, while pristine and white, had a few stray hairs and strings. The carpet in the room and hallways looked very dirty and covered in dust. Some parts of the headboard were quite dusty. Despite the recent remodel, there was a large crack in the ceiling and some of the end tables were very beat up. The window was very dirty.Still, for the price and location, however, it is well worth it for a quick a stay.
1	On the edge of the French Quarter. Quiet, clean reasonably priced. Great value!. We stayed four nights and overall we were very pleased. The staff is friendly and courteous. Check-in was easy and our room was clean and comfortable. The first night there were some loud party animals next door shouting drunkenly into the wee hours. After I called the front desk and complained, the noise died down and they weren't a problem any other night. We slept well and we had everything we needed.Breakfast was varied and plentiful. This is not a gourmet meal but it is good food (eggs, bacon, waffles, oatmeal, fruit, muffins, etc.) and we enjoyed eating by the pool in the courtyard. Very pleasant.The hotel is conveniently located at the edge of the French Quarter...away from the noise but a pleasant walk to the interior and minutes from everything. Honestly, we felt lucky to find this place. It isn't fancy, but it is very clean and fit our needs. The hotel staff answered questions and were very gracious. Check-out was easy and they held our bags. We were very happy with the location and value. The only other snafu we had was one afternoon we got back about 5:00 and they hadn't cleaned our room. Somehow the maid had skipped ours, but when we asked her to take care of it she did right away. We loved our stay and we'll be back!!Hello Ma'am,Thank you for the many kind words your shared about our property. We apologize for the mishap with housekeeping during your stay. We have added a new team member in a supervisory position to improve our tracking and service. We are glad that you otherwise felt well taken care of and sincerely thank you for your patronage!Teresa Munoz - Revenue Manager
1	It was relaxing. Overall the stay was very good. The shuttle service was very helpful and the drivers were friendly and gave us good information on where to eat or have fun. The pool was relaxing and clean although the hot tub was way too hot. The pool has an adult time after 11:00pm but it is not monitored so the pool and hot tub had kids (both from and not from the hotel) in it at that time. Get to the pool early to get a seat as there are not many and they go fast. It was nice to use the bikes for a ride since they are free for the first 3 hours. I would return to the Hotel in the future.
1	Exceeded Expectations. Location, room, and staff all excellent. In the center of the city close to Reading Terminal market and walking distance to Independence Hall (about a mile) and to Museum of Art 1.5 miles. wear you're walking shoes, but you are also right across from the Septa Line at old City Hall. And speaking of City Hall, what a view! Asked ahead of time for a room and we were so fortunate to look upon the City Hall building with William Penn standing above the clock tower. It is part of the skyline and could see it all the way from the Stadium complex. Best Courtyard I have ever stayed in.Dear BobfinNH,Thank you for choosing Courtyard Philadelphia Downtown during your recent visit to the area. We appreciate your comment that this is the best Courtyard you have ever stayed in. We have a very unique hotel, in that we are in an historic building from 1926 which was completely modernized in 1999 and completed renovation in 2014. As you mentioned, we also benefit from an outstanding location in the heart of the city, with easy access by walking and also public transportation for a small fee. We look forward to having you back with us soon.
1	Outstanding Location Wonderful Hospitality!. The Courtyard San Diego Old Town is my new favorite hotel! The location is perfect - within easy walking distance (a few blocks) of the amazing restaurants and shops in Old Town. The front desk staff are very hospitable and eager to assist. The property is beautiful and the decor is true to the area. I enjoyed my stay here tremendously!Jjhoster Thank you so much for taking the time to let us now how your stay was. Glad we were able to wow you and allow us to become your new home away from home. Can't wait to have you back, thanks again!!
0	Second Time is Not a Charm. I stayed at this hotel about a month before this stay and was not impressed. They were under construction so I decided to try it again. When I made the reservation, they made sure to tell me they were still under construction. I said I understood and all I was really looking to do was sit by the pool for... More
0	Everyone was very friendly, however room wasn't super clean.... Everyone was very friendly, however room wasn't super clean and our shower temperature was all over the place while taking a shower. Needs updating and small repairs I think.
0	Won't call me back. Stayed here on business and left something behind in my room. Called the day after I left and the person in Housekeeping confirmed that they had found the item. She said the manager would contact me about returning it to me. Didn't hear from the manager so I called 3 more times over the next 2 weeks - spoke with... More
0	Hilton disappointed. Not good value. No free breakfast. Did not recognize Hilton Honors member Staff could care less upon arriving. Breakfast was either 5.99 or 12. 99 pp. Breakfast bagels were stale and service ok. No coffee in lobby only lemonade Dear richardrG4463RAThank you for taking the time to share your experience about your recent stay at our hotel and for your patronage to our brand. Please accept our sincerest apologies for the issues you experienced upon arrival and with our breakfast. Although we offer various dining options including a full-service restaurant and room service, we apologize for any miscommunication regarding our dining choices. Additionally, we want our guests to encounter a well-trained staff that puts a guest's comfort and satisfaction ahead of anything else so your feedback has been shared with our team to take corrective action and ensure we are better poised to serve you on a future visit. I hope you will see this as an isolated incident and hope to welcome you back for a much-improved visit.Sincerely,Michael GoldwasserGeneral Manager
1	Good spot. The Westin is located right downtown about 3 blocks from the center of the Harbor - an easy walk. As a matter of fact cruisers can be seen dragging their bags from the cruise pier to the hotel the walk is so short. The hotel is modern style and from the interior one could be anywhere in a Westin. Room was large and comfortable, clean. Didn't use the restaurants or bar as preferred to walk down to Harbor area. Very good advance purchase internet rate made it even more attractive. Will stay here again.notnecessary - Thank you for sharing your feedback with Trip Advisor. We find our location to be perfect for all types of guests. We are centrally located between several neighborhoods making it easy to walk and get around without having a vehicle. Always remember to check Westin.com for great promotional rates. We look forward to seeing you again soon. Be Well, Alyssa TurowskiGeneral Manager
1	amazing location, space, and stellar fellow travelers. I stayed in Chicago by myself a week ago for 5 nights in a women's dorm room while going on a marathon of architecture tours. I stayed here to save money and to hopefully meet some other architecture enthusiasts. I had seen this hotel listed in an article listing places for people coming for the first Chicago Architectural Biennial in 2015.I didn't meet architecture tourists, but my fellow roommates were about the 7 most varied and amazing women I have come across in a long time. Let's just say that the first roommate I met was an Italian (Sicilian) who looked like your typical gorgeous, put-together Italian who was there for a conference from a residency in New York who is a neurosurgeon who stayed there in order to meet people. She introduced me to the hotel and to the other roommates not in the room at the time. From there I met an Indonesian coming back on her own to visit where she and her husband had lived as students, French student on her way home, local back from Cuba, Korean exchange student seeing the US, Bostonian in town for wedding (2nd generation from China), and a Detroit auto designer for GM (fresh from Australia).The location couldn't be better. I walked to almost everything. The hotel design is well thought out and interesting. The dorm rooms are tight but it was ok. I had the room to myself usually a couple of times each day.There are a certain number of details that are sort of loosely attended to. For instance the simple breakfast served is a bit of rolling chaos, sometimes no spoons, sometimes no coffee. But such an amazing collection of people in that room every day.I used their simple kitchen to cook for myself a couple of nights to save money and to just hole up when I was worn out. Overall, I felt very lucky to have the Freehand as my base for the week.Hello Kristi, Thank you for staying with us and for taking the time to review your stay. I am so glad to hear you loved your visit and had the chance to meet so many amazing people. I am also glad you enjoyed the location and that you were able to take advantage of the amenities on property. We feel lucky to have had you as our guest and I hope we can see you back again very soon!
0	WHAT A PIGS HOLE. I stayed ONE night, before I could get my bag out of the car, I was propositioned twice, and three times asked if I wanted to buy drugs. Then in the room it looked like one of those rooms out of a horror story, dried blood on the sheets roaches crawling on the floor, Seeing we were new to Florida... More
0	Absolutely horrible!. Probably the worst ever. Incredibly distasteful. No hot water. Inoperable phone in room. Overcharged for parking. Deceptive pricing. No bathroom in room. Discourteous staff. The list goes on and on. The hotel itself isn't so bad, and it's in a very good location. It could be a nice place, and looks like a quaint old hotel. Don't understand the way... More
0	Worst stay ever anywhere. Had an appointment at Hospital so we decided to stay where it was very close. We drive 1 1/2 hrs and weather was supposed to be bad so we decided to stay. When booking the room we requested a room as close off elevators because I have bad lung problems and can't walk distances. Had to do some stairs with... More
1	amazing stay at JW Marriott. its a great place, its location is fantastic with some of the best shopping and eating attractions nearby. Lenox mall is adjacent and some of the biggest shopping chains are a walk away. you will find some of the great eating places all around it. the hotel in itself is pretty great, beautifully done, and aesthetically pleasing. Rooms are great, all amenities provided, bathrooms are clean and well kept. The restaurant in the hotel offers great food, you can have your meals here too. The best part about this property is the staff, the staff is friendly, courteous, they take care of you and help you. i had such an awesome experience in this place, i would recommend it to everyone to come and experience it yourself.Dear Richa S,Thank you for being our guest at JW Marriott Atlanta Buckhead and for recommending us to others. It is rewarding to know you had an outstanding stay and that our dedicated associates helped to craft a seamless experience during your visit. We look forward to hosting you again in the near future.Best Regards,Eb MbyeDirector of Operations
1	Home Away from Home. The Hacienda Hotel is like a home away from home for me. I travel a lot and my stay here is always exceptional. The Hacienda is a beautiful hotel, the grounds are breathtaking, the area is safe, the hotel rooms are clean, and the staff are very friendly, especially McKenzy. The last time I stayed here my son proposed to his girlfriend by the courtyard fountain. So the Hacienda will always be very special to me!!!What a sweet memory! Thank you for taking the time to share why our hotel is special to you. Ill let McKenzy know she was in your thoughts and her warmth left a lasting impression. For anyone planning a family reunion or group visit, McKenzy is a great person to speak with. We hope you will visit again soon!
0	Dirty, Dark, and Smelly. I read the Trip Advisor reviews prior to making reservations for a 3-day stay and felt comfortable with the anticipated accommodations. Now I am doubting if we stayed at the same place! Cannot comprehend all the high praise given this hotel/inn. The check in area is small and poorly lit. I feel sorry for the staff working in such an... More
0	Dirty rooms and unprofessional staff. The room was dirty! There even was a piece of clothing of the previous guest lest in the room (see the picture)!!! The staff were not professional!Do not book this hotel! I had booked it for three nights, but, escaped after the first night!Good Morning,Thank you for your review regarding your recent stay at our property. On behalf of our entire team, I would like to apologize for not exceeding your expectations.Im so sorry for the inconvenience you experience during your stay with us. When you have a moment, can you let us know which room number you stayed in so that we can retrain the person who serviced your room. In addition we will be implementing additional training with our Housekeeping staff to ensure all rooms are being service in a professional manner. We would be more than happy to offer you a discounted rate in the future so we can have another opportunity to show you an excellent experience. I am confident that if given another chance we will be able to show you a wonderful hotel. Please feel free to contact me directly for your reservation needs. You can reach me at 619-275-5700 ext 393 or Lpradohotelpros.biz.Thank you again for your review.Sincerely,Leidy PradoFront Office Manager
1	Perfect stay if they just can get billing correct.. The wife and I, along with 2 other couples stayed at the JW Marriott this past week on the Wine Down Weekend Package. The stay was outstanding. From valet, check-in, porter, restaurant staff, to the concierge the staff could not have been friendlier or more willing to go out of their way to be helpful. Except for the fact that the rooms do not have a refrigerator they were very perfect, with the most comfortable bedding we ever had in a hotel.All in all an excellent stay that would have been perfect if they could just get the billing issues straighten out.
1	Good value, great location!. We took a 3 day trip to New Orleans and wanted to stay close to the French Quarter without spending an arm and a leg. I mean how long are you going to be in the room anyway The rooms were not huge, but they were clean and the beds were very comfortable. This is an old restored building which has lots of charm. The elevators are tiny and there is a nice courtyard with a pool and seating areas. (we were there in the winter) They offer a free continental breakfast, including eggs, sausage, biscuits and more. The bartender was friendly and very helpful with local attractions. They have free WI-FI and a small business center that makes it handy to print your boarding passes. The hotel is just a few blocks from Bourbon Street, and is far enough that you don't have to listen to all the noise. They do have an airport shuttle, BUT you must reserve it at least 24 hours in advance. If only the front desk had told us this little detail, we could have saved some money. I would stay here again on a future visit.
0	Normally like Hamptons - not this one!. If you like King rooms, be prepared not to have a bath. None of their King rooms have baths, only showers. I could not properly wash my hair with a tiny showerhead. Many King rooms have communicating doors to the next room, which are good noise-carriers. With regard to noise: the rooms at the freeway end of the hotel are very noisy, much more so than other hotels we've stayed in on Hotel Circle South. We were living out of our suitcases because of the ridiculous size of the drawers in the room (basically the size of nightstand drawers - see picture). The pool is the size of a large hot-tub. Breakfast had many items but lacked quality: the only good things we found were yoghurt and fresh fruit, cooked food was poor.Hotel staff were helpful and did their best to resolve our issues in a not-so-great hotel. Next San Diego visit: back to the Doubletree.
1	Great hotel, small room. I was very impressed with the Sorrento Hotel. The bed was covered in high quality pillows of varying firmness, the sheets were also high quality, and the comforter was similar to the Heavenly bed at Westin. Free high speed internet access was definitely a major plus, as were the free NY Times and Wall Street Journal in the lobby.Although their valet parking was expensive, there is plenty of metered on street parking in the area (meters not read from 6 pm to 8 am).My only complaint was that the room was somewhat small for a hotel of this quality. Although the square footage was probably about average, a lot of in was wasted on the long hallway in the room. The actual living area was somewhat cramped, especially when the pillows were removed from the bed. Still, I thought the hotel was an excellent value for the money, and I would definitely stay there again.
0	Needs staff improvement. When we arrived at the hotel at 4.30PM well past the check in time of 3 PM, the clerk told us that the room was not ready, could not tell how long it would be before the room would be ready. He did not explain why the room was not ready. His attitude was that it was that way and there was nothing he could do about it. We had to wait for over one hour and only when we approached the clerk and inisted on the room then only he procedded to give us a room. The next day we returned from a late breakfast at 12:05 pm and we were not able to get into our room as the card would not unlock the door.
0	Very very small rooms.. While the staff was friendly, the rooms were so small that had our children been a little older we couldn't have all sat in the same room. Breakfast was terrible. The pool is also very small. We ended up switching hotels.
0	pay more and stay some place nicer. Had a terrible stay. I've stayed in many extended stays across the country and this one has shamed the brand. This hotel smelled, it was unclean, dark and cramped. The rooms were dated,my mattress didn't even have a fitted sheet I saw how nasty and disgusting the conditions of the mattresses. We didn't have any toilet paper in our room upon arrival.the room was less than mediocre. Towels were dingy and worn out. Fire detector was hanging on by a wire literally about to fall off the ceiling. hotel was in bad condition, was more like a motel. Will never stay here again. next time I'll pay more money to stay in a better hotel.
1	Very nice hotel, close to the airport.. When we checked in, we had no toiletries due to the strict airline restrictions from Canada, so the clerk at the front desk took care of everything for us with complimentary necessities. We were also given a complimentary appetizer for their restaurant, and were informed that daily happy hours was between 5:30 - 7:30 pm. Our room was really nice, clean and comfortable with updated furnishings. A little more attention to detail could have been made with the cleaning reagarding some marks and soiling on the walls, but nothing to complain about. After having spent over 30 hours travelling, we were very pleased to find that happy hour consisted of our choice of a long list of spirits, beer, and wine (unlimited), as well as tortilla chips, salsa and guacamole - all complimentary. A full breakfast buffet is included, which is as good as anywhere we've ever been. Sausage, bacon, scrambled eggs, hashbrowns, milk, juice, tea, coffee, bagels, toast, english muffins, sweet buns, fruit, yogurt, and made to order omlette. Lunch and supper in the restaurant was also really good. Some of the best wings I've ever had.
1	Historic, Well Maintained and Comfortable Hotel. On a recent business trip to New Orleans, I was able to extend my stay for an evening and in doing so, I chose to stay closer to the French Quarter (the host hotel was near the Superdome, about 1 mile away). The hotel structure itself dates to the 1800's as the very knowledgeable front desk clear explained when I inquired. She knew all the details and was very proud to share her knowledge. It certainly made for a very nice welcome at check-in (which was efficient and quick).After quickly settling in, I was off to explore the French Quarter and the hotel location on the edge of the historic district makes walking to everything quite easy, yet it's just far enough away from the nightlife to keep things quiet at night. Shops, restaurants, bars and historic sites are all around and across the street Louis Armstrong Park can be accessed a few blocks away.My room on the 2nd floor overlooked the lovely courtyard with trees, chairs to relax and an out door pool. The room was fresh and clean with comfortable beds, a pleasant bathroom with ample lighting, free Wi-Fi (easy to connect and fast speed), a refrigerator, HDTV and safe (large enough for my 14 laptop). The only item needing attention in my room was the grout in the shower, which must be a challenge in such a humid climate.Considering this is such a historic property, they have done a nice job connecting all the buildings and keeping the guest room modern yet with old world charm. Rooms face the courtyard, nearby buildings, the street - so be sure to request the view / area that most suits your needs.Although I did not take advantage of the pool, I did enjoy the complimentary breakfast in the morning. A nice mix of hot and cold options, including waffles, eggs, yogurt, cereal, etc. The staff were ever present and helpful to guests, a very positive experience. My only complaint was the oatmeal was only available using the instant packets, which is never as good as a nice hot crock often found at hotels today.In the evening, the hotel also opens the breakfast area for food and drinks, but I explored the area instead. The hotel lends itself to a relaxing escape, and I ended up meeting a couple who are regulars to the hotel and New Orleans! The best guest is a repeat one and that certainly speaks to the quality experience.While the focus appears to be leisure travelers, the hotel has everything required for a business traveler as well. If returning to New Orleans, I would certainly return again and would recommend to anyone looking for a clean, comfortable, affordable hotel with nice amenities. For meeting all my needs and the expectations of a Best Western Plus hotel, I would certainly rate my experience 5 stars.We are glad that we were able to be a nice break from your business trip and hope to see you again the next time you are in New Orleans.Thank You, Bryant Faul - General Manager
0	Don't Stay Here. While the property is new and has great potential, they also have the rudest staff Management I have ever experienced. I'm a platnium Marriott member and have never before been to a hotel that tried so hard to make me uncomfortable. I shortened a 7 nite stay to 1 nite and found another hotel in the area that was happy to have my business and make me feel comfortable.
1	Birthday trip to NOLA. For my mother's 90th birthday, she wanted to go to New Orleans (has not been since 1959) and we had a fabulous time. My thanks to the Whitney for making her feel so special, absolutely everyone at the hotel was gracious, helpful, polite and fun. The hotel was completely booked, but our spacious rooms/bathrooms were cleaned promptly and it was not noisy. I highly recommend the Whitney Hotel for the perfect stay in New Orleans...Cathy ThomasNashville, TNWe're so pleased to hear you enjoyed your trip to the Whitney Hotel in New Orleans and thank you for the kind words. We'll pass your praise onto the Staff. Please let us know if we can accommodate your next Big Easy get-a-way. Sincerely, Casey A. CallaisGeneral Manager
1	Nice enough hotel. Nice enough hotel - not my favorite. My big complaint is the shower. I had close to no water pressure, and it took forever to rinse my hair. Other than that, it was a nice enough property, and all of the service was very friendly. Room service was good, and we enjoyed the small restaurant/ lounge in the lobby as well.Thank you for your visit and for taking the time to post your review. While I do have our engineering team checking water pressure in various rooms to ensure all showers are working as they should, if you would like to reach out to us directly to let us know which room you specifically stayed in it would be helpful so that we can drill down on it specifically. We are happy that overall you enjoyed your stay and hope to see you again. Thanks for letting us know.
0	Worse place I ever stayed in San Francisco. They lost my reservation,that should have been a clue, I should have left right then and there. The room was the size of a postage stamp.The mattress was way too soft. Internet was slower than molasses. Breakfast consisted of few donuts,mini muffins, 2 beat up apples and instant coffee. The TV was whistling the whole time,I think it was a model from the '90. Never again will they see me there. Book a room across the street at the Lobard Motor Inn, you'll be happy there.
1	Good Convention Center Hotel. We had a conference and the Rosen and were looking for a more inexpensive place to stay. I decided to try the Best Western and was pleased with it. The only negative was that the wireless service in my room wasn't great. It dropped me several times. Breakfast was good with hot food. All the staff were pleasant and good to work with. The room was clean and comfortable. The bed was a little on the hard side for my liking but not bad. I didn't have any problem sleeping. Our room was right next to the elevator which I usually don't like but never heard it the whole time. The fitness center had good equipment in it that worked well. There is an outdoor pool but it was too cool for a swim (though there were kids enjoying it).The price was good so I'd stay another time I'm in the area. The Village Inn restaurant right next door is a good family restaurant to eat at while staying at the Best Western. Prices were very good and serving sizes were large. We really enjoyed the personality of our server and the manager.
0	Felt the staff was very unapproachable and had do.. Very clean hotel but staff from the minute checked in just felt like they had better things to do with their time and really would rather be somewhere else. We would ask them questions and they either ignored us or their person conversations were more important. Will not be staying there again.
